query_index,aurora_time_mean_mean,aurora_time_mean_std,aurora_acc_mean_mean,aurora_acc_mean_std,aurora_prec_mean_mean,aurora_prec_mean_std,aurora_rec_mean_mean,aurora_rec_mean_std,aurora_f1_mean_mean,aurora_f1_mean_std,raw_time_mean_mean,raw_time_mean_std,raw_acc_mean_mean,raw_acc_mean_std
0,55.87365226745605,15.729897513121525,0.9383473634719849,0.018720034258061735,0.5666666666666667,0.14907119849998604,0.6799999999999999,0.17888543819998323,0.6181818181818182,0.16262312563634837,20.14171943664551,4.088488291857131,0.8343650102615356,0.0009790751554199055
1,55.6760395526886,12.933216508581951,0.9449614882469177,0.0,1.0,0.0,1.0,0.0,1.0,0.0,19.5840567111969,3.6649224913392273,0.6208282470703125,0.04882091630107815
2,35.49681277275086,7.569952872953111,0.9269768238067627,0.028649663611328053,0.4866666666666667,0.1937925580499818,0.52,0.2683281572999747,0.5018181818181818,0.22767237589088762,18.477182149887085,2.9609468522580413,0.6946828722953796,0.0966047197788716
3,37.5251748085022,10.8484942439781,0.9576813578605652,0.0,1.0,0.0,0.8,0.0,0.888888888888889,0.0,18.96317238807678,3.3297440938592784,0.703633713722229,0.04186629925061914
4,38.82654128074646,9.736522501924732,0.8892996311187744,0.0,1.0,0.0,1.0,0.0,1.0,0.0,20.663510370254517,4.5254015134786,0.5233877897262573,0.023989962159606963
5,31.929079437255858,6.4553880212604255,0.9062232732772827,0.00644896786213466,0.8,0.1118033988749895,0.8,0.1118033988749895,0.8,0.1118033988749895,19.064522552490235,3.2691670912709903,0.5872835516929626,0.008310410177769916
6,22.11552381515503,4.37508144729751,0.975208580493927,0.0,1.0,0.0,1.0,0.0,1.0,0.0,19.7155490398407,3.4440663454430958,0.5507774770259857,0.04345891208190498
7,51.077734565734865,10.294425204851981,0.9299588203430176,0.0,0.5714285714285714,0.0,0.8,0.0,0.6666666666666666,0.0,20.844694662094117,4.120285039927905,0.5667438983917237,0.03411448790480129
8,110.53033599853515,12.388572400371082,0.9894036650657654,0.0,0.3888888888888889,0.0,1.0,0.0,0.56,0.0,20.907071685791017,3.4699737930596095,0.7704172730445862,0.04648669586265432
9,51.62041583061218,5.774613849942598,0.9643029570579529,0.0,0.5714285714285714,0.0,0.8,0.0,0.6666666666666666,0.0,20.160212659835814,2.6661896582413847,0.82338787317276,0.0029651876181256693
10,34.98373703956604,5.449322394791163,0.9218883514404297,0.0,1.0,0.0,1.0,0.0,1.0,0.0,20.229321098327638,2.8899479577544067,0.6767468929290772,0.03239970355513879
11,13.841848039627076,1.8386473015528408,0.9865184426307678,0.0,1.0,0.0,1.0,0.0,1.0,0.0,23.936598587036134,6.254396333111043,0.7234833240509033,0.021214404429900028
12,12.724841594696045,0.8827109150297902,0.9120219945907593,0.0,1.0,0.0,1.0,0.0,1.0,0.0,21.828934955596925,1.382986462069545,0.5073861360549927,0.01397677813405955
13,13.497069597244263,1.3868568624813438,0.9207673072814941,0.0,0.3333333333333333,0.0,1.0,0.0,0.5,0.0,22.233195781707764,1.6020789687568373,0.6789817452430725,0.009480476065418634
14,18.040848064422608,0.6947539066334038,0.9126205444335938,0.0,0.5,0.0,0.6666666666666666,0.0,0.5714285714285715,0.0,21.11841320991516,0.31285220188013213,0.5948963165283203,0.1194864865722897
15,21.13277974128723,6.263311229198234,0.7414286136627197,0.0,0.6666666666666666,0.0,0.5,0.0,0.5714285714285715,0.0,22.097743701934814,1.482588052216942,0.7203232765197753,0.05365824529573811
16,23.118463897705077,1.280166274535453,0.9236294031143188,0.0,0.5,0.0,0.2,0.0,0.28571428571428575,0.0,22.347576808929443,0.8278615898296303,0.8446559429168701,0.02727577305494087
17,5.533380508422852,0.47573348728220866,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,23.722372102737427,6.885371613932182,0.2709179580211639,0.014282762346139583
18,5.76226487159729,0.5675033311042837,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,21.1034797668457,1.545147178738321,0.3443346738815308,0.020946050788253987
19,7.599334573745727,5.031060381234112,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,21.155607843399046,1.0352116805126526,0.2546806871891022,0.009019912705253133
